Name,Rank,TournRank,ORating,ORank,DRating,DRank,TrapOfEx,KenPomTop,Both
Duke,1,1,128,3,89.8,4,Yes,Yes,Yes
Florida,2,1,128.6,1,92.4,10,Yes,Yes,Yes
Houston,3,1,123.2,10,87.8,2,Yes,Yes,Yes
Auburn,4,1,128.4,2,93.4,12,Yes,Yes,Yes
Tennessee,5,2,120.3,18,89.1,3,Yes,Yes,Yes
Alabama,6,2,126.5,4,96.6,32,No,No,No
Texas Tech,7,3,125.3,6,97.2,37,Yes,No,No
Michigan St,8,2,118.1,27,90.6,5,No,Yes,No
Gonzaga,9,8,123.6,9,96.3,29,Yes,No,No
Iowa St,10,3,119.4,20,92.4,9,No,Yes,No
St John's,11,2,113.9,65,87.5,1,No,No,No
Maryland,12,4,118.1,28,91.8,6,Yes,Yes,Yes
Wisconsin,13,3,122,13,96,27,No,No,No
Arizona,14,4,122.5,12,96.8,33,No,No,No
Missouri,15,6,125.3,5,100.9,73,No,No,No
Kentucky,16,3,123.8,8,99.5,57,No,No,No
Texas A&M,17,4,116.2,44,92.1,7,No,No,No
Clemson,18,5,118.7,24,94.7,16,No,Yes,No
Purdue,19,4,124.2,7,100.4,63,No,No,No
Illinois,20,6,121.6,15,98.1,41,No,No,No
Kansas,21,7,116,48,92.7,11,No,No,No
Saint Mary's,22,7,115.3,56,92.2,8,No,No,No
Louisville,23,8,118.1,29,95.5,21,No,Yes,No
BYU,24,6,123,11,100.6,68,No,No,No
Michigan,25,5,116,47,93.7,14,No,No,No
Ole Miss,26,6,117.8,31,95.8,25,No,No,No
UCLA,27,7,116.8,35,95.1,17,No,Yes,No
Marquette,28,7,117.7,32,96.1,28,No,No,No
Baylor,29,9,120.8,16,99.7,58,No,No,No
VCU,30,11,116.3,41,95.7,23,No,No,No
Oregon,31,5,116.6,39,96.5,31,No,No,No
Mississippi St,32,8,118.7,23,98.6,47,No,No,No
North Carolina,33,11,118.9,22,99.3,53,No,No,No
Georgia,34,9,115.4,54,96,26,No,No,No
Connecticut,35,8,121.9,14,102.6,94,No,No,No
UC San Diego,36,12,115.2,57,96.5,30,No,No,No
Creighton,37,9,116.9,34,98.2,42,No,No,No
Oklahoma,38,9,119,21,100.7,70,No,No,No
Ohio St,39117.6,33,99.3,54,No,No,No
Arkansas,40,10,112.9,73,95.2,20,No,No,No
New Mexico,41,10,112.5,79,95.2,19,No,No,No
Colorado St,42,12,116.2,43,98.9,49,No,No,No
Xavier,43,11,115.5,52,98.3,44,No,No,No
Vanderbilt,49,10,117.9,30,101.8,83,No,No,No
Memphis,51,5,113.1,72,97.8,40,No,No,No
Utah St,52,10,120.7,17,105.5,149,No,No,No
Drake,58,11,112.6,76,98.5,46,No,No,No
McNeese,59,12,114.3,63,100.6,66,No,No,No
Liberty,62,12,112.5,80,98.9,48,No,No,No
Yale,73,13,115.1,59,104,117,No,No,No
Lipscomb,83,14,112.7,75,103.2,100,No,No,No
High Point,84,13,118.5,25,109.1,227,No,No,No
Grand Canyon,93,13,107.8,149,100.6,67,No,No,No
Troy,98,14,107.7,153,100.8,71,No,No,No
Akron,99,13,113.7,66,107.1,183,No,No,No
UNC Wilmington,105,14,112.3,84,107.1,184,No,No,No
Wofford,120,15,113.6,67,109.5,231,No,No,No
Robert Morris,139,15,107,171,104.9,134,No,No,No
Bryant,149,15,106.7,177,105.5,148,No,No,No
Nebraska Omaha,156,15,111,96,110.5,252,No,No,No
Montana,157,14,110.8,98,110.4,250,No,No,No
Norfolk St,180,16,107.1,168,108.7,217,No,No,No
SIUE,217,16,101.9,255,106.2,160,No,No,No
Mount St Mary's,250,16,100.1,292,106.8,176,No,No,No
Alabama St,273,16,101.4,270,110.6,256,No,No,No
